Variáveis,es-ES
listPray,Oración
ListRead,Lectura de la Biblia
listVideo,Preparemos las presentaciones de este mes
listPresentB,Demostración (hermana y ayudante)
listPresentS,Demostración (hermano y ayudante)
listConductCbs,Conductor del Estudio Bíblico de la Congregación
listReadCbs,Lector del Estudio de La Atalaya
listReadW,Conductor del Estudio de La Atalaya
listChairmanOlm,Presidente de la Reunión Vida y Ministerio
listChairmanPm,Presidente de la Reunión Pública
listTreasureTalk,Tesoros de la Biblia – Discurso
listFindGems,Busquemos perlas escondidas
listLiving,Nuestra Vida Cristiana
inputIncludeAdm,Incluya administrador
includeText,"Escriba el nombre del administrador que desea incluir utilizando el campo de arriba. A continuación, seleccione en la lista y combinar las actividades que va a participar."
inputAddEmail,Regístre-se e-mail
msgEmailRegistered,E-mail ya registrada
tabEdit,EDITAR
buttonSaveSmall,Guardar
editMail,EDITAR CORREO ELECTRÓNICO
editPwd,EDITAR CONTRASEÑA
editCongregation,CREAR O EDITAR CONGREGACIÓN
buttonSubmitSmall,Enviar
inputEnterEmail,Introduzca el correo electrónico
buttonEdit,Editar
buttonChange,Cambiar
inputCongName,Nombre de la Congregación
headPrayer,ORACIÓN
headChairman,PRESIDENTE
headTalk,DISCURSO
headDiggingGems,BUSQUEMOS PERLAS ESCONDIDAS
headBibleRead,LECTURA DE LA BIBLIA
headFcall,PRIMERA CONVERSASÍON
headRvisit,REVISITA
headBstudy,CURSO BÍBLICO
headAttendant,ACOMODADOR
headMicrofone,MICRÓFONO
headClean,LIMPIEZA DEL SALÓN DEL REINO
listAddRemovePeople,Añadir/eliminar personas
msgBeingUsed,Siendo utilizado como Acomodador
msgAlreadyAssigned,Ya asignada a este día
study01,1 Lectura precisa
study02,2 Articulación clara
study03,3 Pronunciación correcta
study04,4 Fluidez
study05,5 Uso adecuado de las pausas
study06,6 Énfasis acertado
study07,7 Énfasis en las ideas principales
study08,8 Volumen adecuado
study09,9 Modulación
study10,10 Entusiasmo
study11,11 Afecto y otros sentimientos
study12,12 Ademanes y expresiones faciales
study13,13 Contacto visual
study14,14 Naturalidad
study15,15 Buena apariencia
study16,16 Aplomo
study17,17 Buen uso del micrófono
study18,18 Uso de la Biblia para contestar preguntas
study19,19 Animar a emplear la Biblia
study20,20 Introducción eficaz a los textos bíblicos
study21,21 Lectura de textos bíblicos con el énfasis debido
study22,22 Empleo correcto de los textos bíblicos
study23,23 Resaltar el valor práctico
study24,24 Buen uso del vocabulario
study25,25 Uso de un bosquejo
study26,26 Desarrollo lógico de la información
study27,27 Improvisar las palabras a partir del bosquejo
study28,28 Tono conversacional
study29,29 Calidad de la voz
study30,30 Interés en los oyentes
study31,31 Respeto a los demás
study32,32 Expresarse con convicción
study33,"33 Hablar con tacto, pero con firmeza"
study34,34 Ser edificante y positivo
study35,35 Repetición para dar énfasis
study36,36 Desarrollo del tema
study37,37 Destacar los puntos principales
study38,38 Introducciones que despiertan interés
study39,39 Conclusiones eficaces
study40,40 Exactitud en las afirmaciones
study41,41 Claridad en la exposición
study42,42 Exposición instructiva para el auditorio
study43,43 Utilizar la información asignada
study44,44 Uso eficaz de las preguntas
study45,45 Ilustraciones instructivas
study46,46 Ilustraciones basadas en situaciones conocidas
study47,47 Uso eficaz de medios visuales
study48,48 Argumentación que induce a razonar
study49,49 Solidez en la argumentación
study50,50 Llegar al corazón
study51,51 Atenerse al tiempo y distribuirlo bien
study52,52 Exhortación eficaz
study53,53 Animar y fortalecer al auditorio
tooltipNotes,Véanse las Notas
tooltipAttendant,Editar lista de acomodadores
tooltipCleaning,Editar grupos de limpieza
notesTitle,NOTAS - <data>
notesDate,en <data>
inputNotes,Escriba sus comentarios y notas
attendantTitle,ACOMODADORES Y MICRÓFONOS
assignmentAttendant,Asignación de acomodadores
assignmentMicrophone,Asignación de micrófono
dateOnly,Sólo de esta facha
dateFrom,En esta fecha
cleaningTitle,GRUPOS DE LIMPIEZA
inputGroup,Introduzca el nombre del grupo
buttonInclude,INCLUIR
