Variáveis,en-US
listPresentB,Demonstration (sister and assistant)
listPresentS,Demonstration (brother and assistant)
listConductCbs,Congregation Bible Study Conductor
listReadCbs,Congregation Bible Study Reader
listReadW,Watchtower Study Conductor
listChairmanOlm,Our Life and Ministry Chairman
listChairmanPm,Public Meeting Chairman
listTreasureTalk,Treasures From God's Word – Talk
listFindGems,Digging for Spiritual Gems
listLiving,Living as Christians
inputIncludeAdm,Include administrator
includeText,Type the administrator's name you want to include using the field above. Then select it in the list and match the activities which he will participate.
inputAddEmail,Register e-mail
msgEmailRegistered,E-mail already registered
tabEdit,EDIT
buttonSaveSmall,Save
editMail,EDIT E-MAIL
editPwd,EDIT PASSWORD
editCongregation,CREATE OR EDIT CONGREGATION
buttonSubmitSmall,Submit
inputEnterEmail,Enter e-mail address
buttonEdit,Edit
buttonChange,Change
inputCongName,Congregation Name
headPrayer,PRAYER
headChairman,CHAIRMAN
headTalk,TALK
headDiggingGems,DIGGING FOR SPIRITUAL GEMS
headBibleRead,BIBLE READING
headFcall,FIRST CALL
headRvisit,RETURN VISIT
headBstudy,BIBLE STUDY
headAttendant,ATTENDANT
headMicrofone,MICROPHONE
headClean,KINGDOM HALL CLEANING
listAddRemovePeople,Add/remove people...
msgBeingUsed,Being used as Attendant
msgAlreadyAssigned,Already assigned for this day
study01,1 Accurate Reading
study02,2 Words Clearly Spoken
study03,3 Correct Pronunciation
study04,4 Fluent Delivery
study05,5 Appropriate Pausing
study06,6 Proper Sense Stress
study07,7 Principal Ideas Emphasized
study08,8 Suitable Volume
study09,9 Modulation
study10,10 Enthusiasm
study11,11 Warmth and Feeling
study12,12 Gestures and Facial Expressions
study13,13 Visual Contact
study14,14 Naturalness
study15,15 Good Personal Appearance
study16,16 Poise
study17,17 Use of Microphone
study18,18 Use of Bible in Replying
study19,19 Use of Bible Encouraged
study20,20 Scriptures Effectively Introduced
study21,21 Scriptures Read With Proper Emphasis
study22,22 Scriptures Correctly Applied
study23,23 Practical Value Made Clear
study24,24 Choice of Words
study25,25 Use of an Outline
study26,26 Logical Development of Material
study27,27 Extemporaneous Delivery
study28,28 Conversational Manner
study29,29 Voice Quality
study30,30 Interest Shown in the Other Person
study31,31 Respect Shown to Others
study32,32 Expressed With Conviction
study33,33 Tactful yet Firm
study34,34 Upbuilding and Positive
study35,35 Repetition for Emphasis
study36,36 Theme Developed
study37,37 Main Points Made to Stand Out
study38,38 Interest-Arousing Introduction
study39,39 Effective Conclusion
study40,40 Accuracy of Statement
study41,41 Understandable to Others
study42,42 Informative to Your Audience
study43,43 Use of Assigned Material
study44,44 Effective Use of Questions
study45,45 Illustrations/Examples That Teach
study46,46 Illustrations From Familiar Situations
study47,47 Effective Use of Visual Aids
study48,48 Reasoning Manner
study49,49 Sound Arguments Given
study50,50 Effort to Reach the Heart
study51,"51 Accurately Timed, Properly Proportioned"
study52,52 Effective Exhortation
study53,53 Audience Encouraged and Strengthened
tooltipNotes,See Notes
tooltipAttendant,Edit attendant's list
tooltipCleaning,Edit Cleaning Groups
notesTitle,NOTES - <date>
notesDate,in <date>
inputNotes,Type your comments and notes here
attendantTitle,ATTENDANTS & MICROPHONE OPERATORS
assignmentAttendant,Attendant's assignment
assignmentMicrophone,Microphone's assignment
dateOnly,Only this date
dateFrom,From this date
cleaningTitle,CLEANING GROUPS
inputGroup,Enter the group name
buttonInclude,INCLUDE
